Breed,Breed Size,Sex,Age,Weight (lbs),Spay/Neuter Status,Daily Activity Level,Diet,Daily Walk Distance (miles),Medications,Seizures,Hours of Sleep,Play Time (hrs),Annual Vet Visits,Average Temperature (F),Healthy
Chihuahua,Small,Female,12.0,67.0,Neutered,Active,Home cooked,1.0,No,No,10.0,1.0,0.0,92.0,Yes
Australian Shepherd,Medium,Male,12.0,28.0,Neutered,Moderate,Special diet,2.0,Yes,No,11.0,2.0,0.0,65.0,No
Rottweiler,Large,Male,2.0,64.0,Spayed,Very Active,Hard food,3.0,Yes,No,11.0,2.0,1.0,87.0,Yes
Boxer,Medium,Female,2.0,46.0,Spayed,Active,Special diet,2.0,Yes,No,8.0,2.0,1.0,48.0,Yes
German Shepherd,Large,Female,11.0,38.0,Spayed,Very Active,Wet food,1.0,No,No,12.0,1.0,1.0,100.0,Yes
Chihuahua,Small,Male,10.0,15.0,Neutered,Moderate,Wet food,3.0,Yes,No,8.0,3.0,1.0,72.0,No
Beagle,Small,Male,11.0,52.0,Neutered,Active,Special diet,4.0,Yes,No,11.0,1.0,0.0,75.0,Yes
Rottweiler,Large,Male,2.0,66.0,Neutered,Active,Home cooked,1.0,Yes,No,14.0,1.0,1.0,43.0,Yes
Australian Shepherd,Medium,Male,10.0,69.0,Spayed,Very Active,Hard food,1.0,No,No,10.0,3.0,4.0,52.0,Yes
Bulldog,Medium,Male,2.0,58.0,Neutered,Active,Wet food,2.0,Yes,No,9.0,1.0,2.0,70.0,Yes
Rottweiler,Large,Female,13.0,27.0,Neutered,Very Active,Home cooked,0.0,Yes,No,13.0,1.0,2.0,99.0,Yes
Golden Retriever,Large,Female,9.0,65.0,Spayed,Moderate,Wet food,3.0,Yes,No,9.0,2.0,2.0,48.0,No
Poodle,Small,Female,9.0,31.0,Neutered,Low,Special diet,4.0,No,No,13.0,2.0,0.0,55.0,Yes
Siberian Husky,Medium,Female,8.0,49.0,Neutered,Active,Wet food,3.0,No,No,13.0,2.0,1.0,80.0,Yes
Rottweiler,Large,Female,11.0,59.0,Spayed,Moderate,Hard food,1.0,Yes,No,10.0,1.0,0.0,40.0,No
Labrador Retriever,Large,Female,6.0,62.0,Spayed,Low,Hard food,2.0,No,No,10.0,1.0,2.0,64.0,Yes
Doberman,Large,Male,8.0,42.0,Neutered,Low,Special diet,3.0,No,No,12.0,2.0,3.0,64.0,Yes
Bulldog,Medium,Male,12.0,62.0,Neutered,Moderate,Wet food,0.0,No,Yes,9.0,1.0,1.0,68.0,No
Boxer,Medium,Male,5.0,38.0,Neutered,Active,Hard food,2.0,No,No,12.0,3.0,3.0,35.0,Yes
Australian Shepherd,Medium,Female,13.0,84.0,Spayed,Low,Home cooked,2.0,Yes,No,13.0,1.0,0.0,78.0,No
Rottweiler,Large,Male,11.0,71.0,Neutered,Very Active,Special diet,5.0,No,No,14.0,1.0,1.0,75.0,Yes
Yorkshire Terrier,Small,Male,12.0,73.0,Neutered,Very Active,Home cooked,2.0,No,No,10.0,2.0,0.0,84.0,Yes
Poodle,Small,Male,1.0,48.0,Spayed,Low,Wet food,5.0,No,No,12.0,0.0,0.0,66.0,No
German Shepherd,Large,Female,10.0,37.0,Neutered,Very Active,Wet food,3.0,No,No,11.0,2.0,2.0,79.0,Yes
Chihuahua,Small,Female,9.0,76.0,Neutered,Low,Special diet,0.0,Yes,No,13.0,3.0,1.0,31.0,Yes
Golden Retriever,Large,Female,2.0,65.0,Neutered,Low,Special diet,1.0,Yes,Yes,9.0,0.0,0.0,50.0,No
Siberian Husky,Medium,Male,7.0,39.0,Spayed,Very Active,Special diet,3.0,Yes,No,12.0,1.0,2.0,60.0,Yes
Siberian Husky,Medium,Male,1.0,61.0,Neutered,Active,Wet food,1.0,No,No,12.0,2.0,1.0,69.0,Yes
Bulldog,Medium,Female,9.0,25.0,Spayed,Very Active,Home cooked,3.0,Yes,No,13.0,1.0,2.0,100.0,Yes
Great Dane,Large,Female,11.0,60.0,Spayed,Active,Home cooked,1.0,No,No,12.0,1.0,2.0,75.0,Yes
Golden Retriever,Large,Male,9.0,60.0,Spayed,Moderate,Special diet,3.0,Yes,Yes,10.0,1.0,0.0,44.0,No
Boxer,Medium,Male,4.0,63.0,Neutered,Moderate,Hard food,4.0,Yes,No,12.0,3.0,2.0,53.0,Yes
Labrador Retriever,Large,Male,4.0,20.0,Spayed,Active,Hard food,3.0,Yes,No,9.0,2.0,1.0,67.0,Yes
Chihuahua,Small,Male,4.0,55.0,Spayed,Active,Wet food,0.0,No,No,12.0,1.0,0.0,67.0,Yes
Siberian Husky,Medium,Male,8.0,41.0,Neutered,Moderate,Special diet,2.0,Yes,No,12.0,2.0,0.0,76.0,Yes
Rottweiler,Large,Male,10.0,61.0,Neutered,Active,Wet food,0.0,Yes,No,10.0,0.0,2.0,91.0,Yes
Great Dane,Large,Male,3.0,78.0,Neutered,Low,Wet food,5.0,No,No,9.0,2.0,2.0,68.0,Yes
Siberian Husky,Medium,Male,4.0,62.0,Neutered,Very Active,Hard food,3.0,No,No,13.0,2.0,2.0,66.0,Yes
Chihuahua,Small,Male,12.0,74.0,Neutered,Moderate,Special diet,5.0,Yes,No,12.0,2.0,0.0,78.0,No
Beagle,Small,Male,11.0,62.0,Spayed,Low,Special diet,1.0,No,No,11.0,3.0,3.0,83.0,Yes
Siberian Husky,Medium,Female,7.0,84.0,Neutered,Active,Special diet,0.0,No,No,12.0,1.0,3.0,60.0,Yes
Dachshund,Small,Female,4.0,23.0,Spayed,Very Active,Special diet,3.0,Yes,No,13.0,3.0,2.0,55.0,Yes
Bulldog,Medium,Female,9.0,65.0,Neutered,Moderate,Wet food,5.0,No,No,14.0,0.0,0.0,58.0,No
Doberman,Large,Male,2.0,51.0,Spayed,Active,Hard food,2.0,Yes,No,10.0,1.0,0.0,70.0,Yes
Labrador Retriever,Large,Male,7.0,61.0,Spayed,Very Active,Special diet,1.0,No,No,11.0,1.0,2.0,74.0,Yes
Australian Shepherd,Medium,Male,1.0,43.0,Spayed,Very Active,Wet food,3.0,Yes,No,11.0,1.0,2.0,49.0,Yes
German Shepherd,Large,Female,6.0,69.0,Spayed,Low,Special diet,4.0,No,No,11.0,2.0,2.0,74.0,Yes
Chihuahua,Small,Female,2.0,47.0,Spayed,Active,Home cooked,3.0,Yes,No,13.0,0.0,2.0,57.0,Yes
Australian Shepherd,Medium,Male,7.0,10.0,Spayed,Active,Home cooked,1.0,Yes,No,12.0,4.0,1.0,68.0,Yes
Siberian Husky,Medium,Female,7.0,61.0,Neutered,Very Active,Wet food,3.0,No,No,11.0,0.0,0.0,61.0,Yes
Chihuahua,Small,Male,8.0,52.0,Spayed,Low,Home cooked,3.0,Yes,No,9.0,3.0,2.0,45.0,Yes
Boxer,Medium,Female,7.0,50.0,Spayed,Moderate,Wet food,2.0,No,No,10.0,2.0,1.0,46.0,Yes
Bulldog,Medium,Female,13.0,61.0,Spayed,Low,Wet food,5.0,Yes,No,12.0,3.0,1.0,75.0,No
